epoch,lr-Adam,step,train_loss,val_loss
,5e-05,0,,
0,,49,3.842874050140381,
0,,99,3.8719146251678467,
0,,149,3.6255640983581543,
0,,199,2.527630090713501,
0,,249,2.956435203552246,
0,,299,2.175370693206787,
0,,349,2.2470061779022217,
0,,399,1.6290514469146729,
0,,449,2.5157363414764404,
0,,499,2.724254608154297,
0,,549,2.2277464866638184,
0,,599,1.6120189428329468,
0,,649,2.1203219890594482,
0,,699,2.72607421875,
0,,749,2.0334339141845703,
0,,799,1.6182622909545898,
0,,818,,3.6471245288848877
,5e-05,819,,
1,,849,2.396731376647949,
1,,899,1.525567889213562,
1,,949,1.7096326351165771,
1,,999,1.8906748294830322,
1,,1049,2.30678653717041,
1,,1099,1.6683778762817383,
1,,1149,1.5612313747406006,
1,,1199,1.6252658367156982,
1,,1249,2.073465347290039,
1,,1299,1.6177012920379639,
1,,1349,1.6666969060897827,
1,,1399,1.775875449180603,
1,,1449,1.3249337673187256,
1,,1499,1.548687219619751,
1,,1549,1.5839990377426147,
1,,1599,1.5005425214767456,
1,,1637,,3.3402841091156006
,5e-05,1638,,
2,,1649,1.8881750106811523,
2,,1699,1.5818418264389038,
2,,1749,1.5333188772201538,
2,,1799,1.4703782796859741,
2,,1849,1.6367099285125732,
2,,1899,1.4724488258361816,
2,,1949,1.1980292797088623,
2,,1999,1.3087650537490845,
2,,2049,2.213040351867676,
2,,2099,1.414463996887207,
2,,2149,1.9137370586395264,
2,,2199,1.4519885778427124,
2,,2249,1.710625410079956,
2,,2299,1.6684074401855469,
2,,2349,1.4943164587020874,
2,,2399,1.5840299129486084,
2,,2449,1.5098085403442383,
2,,2456,,3.0938210487365723
,5e-05,2457,,
3,,2499,1.3340696096420288,
3,,2549,1.4037141799926758,
3,,2599,1.4097665548324585,
3,,2649,1.4717178344726562,
3,,2699,1.7002763748168945,
3,,2749,2.0203042030334473,
3,,2799,1.2621294260025024,
3,,2849,1.7664697170257568,
3,,2899,1.725620985031128,
3,,2949,1.22956120967865,
3,,2999,1.3433425426483154,
3,,3049,1.8492672443389893,
3,,3099,1.3530181646347046,
3,,3149,1.9321327209472656,
3,,3199,1.2976688146591187,
3,,3249,1.110150694847107,
3,,3275,,2.927250862121582
,5e-05,3276,,
4,,3299,1.0945618152618408,
4,,3349,1.3338794708251953,
4,,3399,1.2035274505615234,
4,,3449,1.2948389053344727,
4,,3499,1.1712391376495361,
4,,3549,1.4142510890960693,
4,,3599,1.0976026058197021,
4,,3649,1.0610809326171875,
4,,3699,1.2167365550994873,
4,,3749,1.3785171508789062,
4,,3799,1.4836100339889526,
4,,3849,1.2298439741134644,
4,,3899,1.6129276752471924,
4,,3949,1.4101365804672241,
4,,3999,1.008122444152832,
4,,4049,1.231550693511963,
4,,4094,,2.8097281455993652
,5e-05,4095,,
5,,4099,1.3262660503387451,
5,,4149,1.1344066858291626,
5,,4199,1.7454674243927002,
5,,4249,1.4506969451904297,
5,,4299,1.1227307319641113,
5,,4349,1.3198086023330688,
5,,4399,1.3853497505187988,
5,,4449,1.1380780935287476,
5,,4499,1.3617730140686035,
5,,4549,1.2055495977401733,
5,,4599,1.3148173093795776,
5,,4649,0.9444546103477478,
5,,4699,1.33000910282135,
5,,4749,1.1948094367980957,
5,,4799,1.9739155769348145,
5,,4849,1.5869512557983398,
5,,4899,1.5176465511322021,
5,,4913,,2.684652090072632
,5e-05,4914,,
6,,4949,1.7883275747299194,
6,,4999,1.3446722030639648,
6,,5049,1.2704215049743652,
6,,5099,1.4403159618377686,
6,,5149,1.2923862934112549,
6,,5199,1.3934271335601807,
6,,5249,1.7668695449829102,
6,,5299,1.1598654985427856,
6,,5349,1.142314076423645,
6,,5399,1.6181743144989014,
6,,5449,1.2732834815979004,
6,,5499,1.3596930503845215,
6,,5549,1.4061532020568848,
6,,5599,1.348402976989746,
6,,5649,1.2029285430908203,
6,,5699,1.1496615409851074,
6,,5732,,2.6255412101745605
,5e-05,5733,,
7,,5749,1.346964716911316,
7,,5799,1.1534616947174072,
7,,5849,0.841690719127655,
7,,5899,1.1576324701309204,
7,,5949,0.9686047434806824,
7,,5999,1.2024965286254883,
7,,6049,1.704028606414795,
7,,6099,1.4194430112838745,
7,,6149,1.3524377346038818,
7,,6199,1.44161057472229,
7,,6249,0.9122451543807983,
7,,6299,0.9200061559677124,
7,,6349,0.9153854250907898,
7,,6399,1.1747616529464722,
7,,6449,1.3523681163787842,
7,,6499,1.2165051698684692,
7,,6549,1.3605817556381226,
7,,6551,,2.5433053970336914
,5e-05,6552,,
8,,6599,1.1740891933441162,
8,,6649,1.1733496189117432,
8,,6699,0.9466911554336548,
8,,6749,1.365662932395935,
8,,6799,1.3122611045837402,
8,,6849,1.066222906112671,
8,,6899,1.500975489616394,
8,,6949,1.0928194522857666,
8,,6999,1.5238094329833984,
8,,7049,1.4553022384643555,
8,,7099,1.2655625343322754,
8,,7149,1.2329620122909546,
8,,7199,1.0310386419296265,
8,,7249,1.2825119495391846,
8,,7299,1.1338409185409546,
8,,7349,1.2028700113296509,
